Price,Year,Kilometer,Seating Capacity,Fuel Tank Capacity,Make,Model,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain
505000.0,2017.0,87150.0,5.0,35.0,Honda,Amaze 1.2 VX i-VTEC,Petrol,Manual,Pune,Grey,First,Corporate,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
450000.0,2014.0,75000.0,5.0,42.0,Maruti Suzuki,Swift DZire VDI,Diesel,Manual,Ludhiana,White,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
220000.0,2011.0,67000.0,5.0,35.0,Hyundai,i10 Magna 1.2 Kappa2,Petrol,Manual,Lucknow,Maroon,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD
799000.0,2019.0,37500.0,5.0,37.0,Toyota,Glanza G,Petrol,Manual,Mangalore,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
1950000.0,2018.0,69000.0,5.0,55.0,Toyota,Innova 2.4 VX 7 STR [2016-2020],Diesel,Manual,Mumbai,Grey,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
675000.0,2017.0,73315.0,5.0,43.0,Maruti Suzuki,Ciaz ZXi,Petrol,Manual,Pune,Grey,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD
1898999.0,2015.0,47000.0,5.0,10.0,Mercedes-Benz,CLA 200 Petrol Sport,Petrol,Automatic,Mumbai,White,Second,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,FWD
2650000.0,2017.0,75000.0,5.0,51.0,BMW,X1 xDrive20d M Sport,Diesel,Automatic,Coimbatore,White,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD
1390000.0,2017.0,56000.0,5.0,50.0,Skoda,Octavia 1.8 TSI Style Plus AT [2017],Petrol,Automatic,Mumbai,White,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD
575000.0,2015.0,85000.0,5.0,50.0,Nissan,Terrano XL (D),Diesel,Manual,Mumbai,White,First,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD
591000.0,2017.0,20281.0,5.0,45.0,Hyundai,Elite i20 Sportz 1.2,Petrol,Manual,Mumbai,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
459999.0,2018.0,22541.0,5.0,28.0,Renault,Kwid 1.0 RXT [2016-2019],Petrol,Manual,Bangalore,Grey,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD
1075000.0,2019.0,30672.0,5.0,43.0,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],Petrol,Automatic,Bangalore,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD
1695000.0,2019.0,20856.0,5.0,50.0,Tata,Harrier XZ [2019-2020],Diesel,Manual,Bangalore,Orange,First,Individual,1956 cc,138 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
944999.0,2017.0,41417.0,5.0,45.0,Volkswagen,Polo GT TSI,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD
569000.0,2016.0,11471.0,5.0,35.0,Maruti Suzuki,Celerio ZXi AMT [2019-2020],Petrol,Automatic,Bangalore,Red,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
449000.0,2019.0,3583.0,5.0,35.0,Maruti Suzuki,Alto 800 LXi (O),Petrol,Manual,Bangalore,Grey,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
